,Name,side 1,side 2,side 3,side 4,side 5 ,side 6,MU wins,MU draws,MU losses,MU win %,MU draw %,MU loss %,total win %,total draws %,total loss %
0,4/4/4/3/3/3,4,4,4,3,3,3,247,47,37,0.7462,0.142,0.1118,0.5614,0.0992,0.3394
1,4/4/4/4/3/2,4,4,4,4,3,2,258,26,47,0.7795,0.0785,0.142,0.5572,0.0996,0.3432
2,4/4/4/4/4/1,4,4,4,4,4,1,264,14,53,0.7976,0.0423,0.1601,0.5477,0.10099999999999999,0.3514
3,5/4/3/3/3/3,5,4,3,3,3,3,269,16,46,0.8127,0.0483,0.139,0.5576,0.0999,0.3426
4,5/4/4/3/3/2,5,4,4,3,3,2,264,29,38,0.7976,0.0876,0.1148,0.5533,0.1003,0.3464
5,5/4/4/4/2/2,5,4,4,4,2,2,274,17,40,0.8278,0.0514,0.1208,0.5489999999999999,0.1007,0.3503
6,5/4/4/4/3/1,5,4,4,4,3,1,266,20,45,0.8036,0.0604,0.136,0.5438,0.1016,0.3546
7,5/4/4/4/4/0,5,4,4,4,4,0,269,6,56,0.8127,0.0181,0.1692,0.5286,0.1035,0.3679
8,5/5/3/3/3/2,5,5,3,3,3,2,266,17,48,0.8036,0.0514,0.145,0.5494,0.10099999999999999,0.3496
9,5/5/4/3/2/2,5,5,4,3,2,2,263,34,34,0.7946,0.1027,0.1027,0.5451,0.1014,0.3535
10,5/5/4/3/3/1,5,5,4,3,3,1,273,20,38,0.8248,0.0604,0.1148,0.5399,0.1023,0.3578
11,5/5/4/4/2/1,5,5,4,4,2,1,274,20,37,0.8278,0.0604,0.1118,0.5357,0.1027,0.3616
12,5/5/4/4/3/0,5,5,4,4,3,0,269,12,50,0.8127,0.0363,0.1511,0.5248,0.1041,0.3711
13,5/5/5/2/2/2,5,5,5,2,2,2,246,61,24,0.7432,0.1843,0.0725,0.537,0.1025,0.3605
