sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[4, 4, 4, 3, 3, 3]	247.0	47.0	37.0	74.622%	14.199%	11.178%	6690.0	1182.0	4044.0	56.143%	9.9194%	33.937%	
[4, 4, 4, 4, 3, 2]	258.0	26.0	47.0	77.945%	7.8549%	14.199%	6639.0	1187.0	4090.0	55.715%	9.9613%	34.323%	
[4, 4, 4, 4, 4, 1]	264.0	14.0	53.0	79.758%	4.2296%	16.012%	6526.0	1203.0	4187.0	54.766%	10.095%	35.137%	
[5, 4, 3, 3, 3, 3]	269.0	16.0	46.0	81.268%	4.8338%	13.897%	6644.0	1190.0	4082.0	55.756%	9.9865%	34.256%	
[5, 4, 4, 3, 3, 2]	264.0	29.0	38.0	79.758%	8.7613%	11.480%	6593.0	1195.0	4128.0	55.328%	10.028%	34.642%	
[5, 4, 4, 4, 2, 2]	274.0	17.0	40.0	82.779%	5.1359%	12.084%	6542.0	1200.0	4174.0	54.900%	10.070%	35.028%	
[5, 4, 4, 4, 3, 1]	266.0	20.0	45.0	80.362%	6.0422%	13.595%	6480.0	1211.0	4225.0	54.380%	10.162%	35.456%	
[5, 4, 4, 4, 4, 0]	269.0	6.0	56.0	81.268%	1.8126%	16.918%	6299.0	1233.0	4384.0	52.861%	10.347%	36.790%	
[5, 5, 3, 3, 3, 2]	266.0	17.0	48.0	80.362%	5.1359%	14.501%	6547.0	1203.0	4166.0	54.942%	10.095%	34.961%	
[5, 5, 4, 3, 2, 2]	263.0	34.0	34.0	79.456%	10.271%	10.271%	6496.0	1208.0	4212.0	54.514%	10.137%	35.347%	
[5, 5, 4, 3, 3, 1]	273.0	20.0	38.0	82.477%	6.0422%	11.480%	6434.0	1219.0	4263.0	53.994%	10.229%	35.775%	
[5, 5, 4, 4, 2, 1]	274.0	20.0	37.0	82.779%	6.0422%	11.178%	6383.0	1224.0	4309.0	53.566%	10.271%	36.161%	
[5, 5, 4, 4, 3, 0]	269.0	12.0	50.0	81.268%	3.6253%	15.105%	6253.0	1241.0	4422.0	52.475%	10.414%	37.109%	
[5, 5, 5, 2, 2, 2]	246.0	61.0	24.0	74.320%	18.429%	7.2507%	6399.0	1221.0	4296.0	53.700%	10.246%	36.052%	
[5, 5, 5, 3, 2, 1]	275.0	24.0	32.0	83.081%	7.2507%	9.6676%	6337.0	1232.0	4347.0	53.180%	10.339%	36.480%	
[5, 5, 5, 3, 3, 0]	273.0	20.0	38.0	82.477%	6.0422%	11.480%	6207.0	1249.0	4460.0	52.089%	10.481%	37.428%	
[5, 5, 5, 4, 1, 1]	266.0	22.0	43.0	80.362%	6.6465%	12.990%	6224.0	1248.0	4444.0	52.232%	10.473%	37.294%	
[5, 5, 5, 4, 2, 0]	272.0	19.0	40.0	82.175%	5.7401%	12.084%	6156.0	1254.0	4506.0	51.661%	10.523%	37.814%	
[5, 5, 5, 5, 1, 0]	249.0	23.0	59.0	75.226%	6.9486%	17.824%	5997.0	1278.0	4641.0	50.327%	10.725%	38.947%	
[6, 3, 3, 3, 3, 3]	266.0	8.0	57.0	80.362%	2.4169%	17.220%	6560.0	1205.0	4151.0	55.052%	10.112%	34.835%	
[6, 4, 3, 3, 3, 2]	266.0	18.0	47.0	80.362%	5.4380%	14.199%	6509.0	1210.0	4197.0	54.624%	10.154%	35.221%	
[6, 4, 4, 3, 2, 2]	269.0	17.0	45.0	81.268%	5.1359%	13.595%	6458.0	1215.0	4243.0	54.196%	10.196%	35.607%	
[6, 4, 4, 3, 3, 1]	266.0	30.0	35.0	80.362%	9.0634%	10.574%	6396.0	1226.0	4294.0	53.675%	10.288%	36.035%	
[6, 4, 4, 4, 2, 1]	272.0	23.0	36.0	82.175%	6.9486%	10.876%	6345.0	1231.0	4340.0	53.247%	10.330%	36.421%	
[6, 4, 4, 4, 3, 0]	259.0	17.0	55.0	78.247%	5.1359%	16.616%	6215.0	1248.0	4453.0	52.156%	10.473%	37.369%	
[6, 5, 3, 3, 2, 2]	262.0	22.0	47.0	79.154%	6.6465%	14.199%	6412.0	1223.0	4281.0	53.810%	10.263%	35.926%	
[6, 5, 3, 3, 3, 1]	269.0	21.0	41.0	81.268%	6.3444%	12.386%	6350.0	1234.0	4332.0	53.289%	10.355%	36.354%	
[6, 5, 4, 2, 2, 2]	260.0	28.0	43.0	78.549%	8.4592%	12.990%	6361.0	1228.0	4327.0	53.382%	10.305%	36.312%	
[6, 5, 4, 3, 2, 1]	260.0	48.0	23.0	78.549%	14.501%	6.9486%	6299.0	1239.0	4378.0	52.861%	10.397%	36.740%	
[6, 5, 4, 3, 3, 0]	265.0	23.0	43.0	80.060%	6.9486%	12.990%	6169.0	1256.0	4491.0	51.770%	10.540%	37.688%	
[6, 5, 4, 4, 1, 1]	267.0	26.0	38.0	80.664%	7.8549%	11.480%	6186.0	1255.0	4475.0	51.913%	10.532%	37.554%	
[6, 5, 4, 4, 2, 0]	274.0	21.0	36.0	82.779%	6.3444%	10.876%	6118.0	1261.0	4537.0	51.342%	10.582%	38.074%	
[6, 5, 5, 2, 2, 1]	259.0	34.0	38.0	78.247%	10.271%	11.480%	6202.0	1252.0	4462.0	52.047%	10.506%	37.445%	
[6, 5, 5, 3, 1, 1]	269.0	31.0	31.0	81.268%	9.3655%	9.3655%	6140.0	1263.0	4513.0	51.527%	10.599%	37.873%	
[6, 5, 5, 3, 2, 0]	276.0	24.0	31.0	83.383%	7.2507%	9.3655%	6072.0	1269.0	4575.0	50.956%	10.649%	38.393%	
[6, 5, 5, 4, 1, 0]	253.0	27.0	51.0	76.435%	8.1570%	15.407%	5959.0	1285.0	4672.0	50.008%	10.783%	39.207%	
[6, 5, 5, 5, 0, 0]	224.0	26.0	81.0	67.673%	7.8549%	24.471%	5732.0	1315.0	4869.0	48.103%	11.035%	40.861%	
[6, 6, 3, 2, 2, 2]	257.0	20.0	54.0	77.643%	6.0422%	16.314%	6277.0	1243.0	4396.0	52.677%	10.431%	36.891%	
[6, 6, 3, 3, 2, 1]	261.0	27.0	43.0	78.851%	8.1570%	12.990%	6215.0	1254.0	4447.0	52.156%	10.523%	37.319%	
[6, 6, 3, 3, 3, 0]	258.0	30.0	43.0	77.945%	9.0634%	12.990%	6085.0	1271.0	4560.0	51.065%	10.666%	38.267%	
