Matchup	Value
[4, 4, 4, 3, 3, 3]	-24
[4, 4, 4, 4, 3, 2]	-23
[4, 4, 4, 4, 4, 1]	-22
[5, 4, 3, 3, 3, 3]	-24
[5, 4, 4, 3, 3, 2]	-23
[5, 4, 4, 4, 2, 2]	-22
[5, 4, 4, 4, 3, 1]	-22
[5, 4, 4, 4, 4, 0]	-18
[5, 5, 3, 3, 3, 2]	-23
[5, 5, 4, 3, 2, 2]	-22
[5, 5, 4, 3, 3, 1]	-22
[5, 5, 4, 4, 2, 1]	-21
[5, 5, 4, 4, 3, 0]	-18
[5, 5, 5, 2, 2, 2]	-21
[5, 5, 5, 3, 2, 1]	-21
[5, 5, 5, 3, 3, 0]	-18
[5, 5, 5, 4, 1, 1]	-20
[5, 5, 5, 4, 2, 0]	-17
[5, 5, 5, 5, 1, 0]	-16
[6, 3, 3, 3, 3, 3]	-24
[6, 4, 3, 3, 3, 2]	-23
[6, 4, 4, 3, 2, 2]	-22
[6, 4, 4, 3, 3, 1]	-22
[6, 4, 4, 4, 2, 1]	-21
[6, 4, 4, 4, 3, 0]	-18
[6, 5, 3, 3, 2, 2]	-22
[6, 5, 3, 3, 3, 1]	-22
[6, 5, 4, 2, 2, 2]	-21
[6, 5, 4, 3, 2, 1]	-21
[6, 5, 4, 3, 3, 0]	-18
[6, 5, 4, 4, 1, 1]	-20
[6, 5, 4, 4, 2, 0]	-17
[6, 5, 5, 2, 2, 1]	-20
[6, 5, 5, 3, 1, 1]	-20
[6, 5, 5, 3, 2, 0]	-17
[6, 5, 5, 4, 1, 0]	-16
[6, 5, 5, 5, 0, 0]	-12
[6, 6, 3, 2, 2, 2]	-21
[6, 6, 3, 3, 2, 1]	-21
[6, 6, 3, 3, 3, 0]	-18
[6, 6, 4, 2, 2, 1]	-20
[6, 6, 4, 3, 1, 1]	-20
[6, 6, 4, 3, 2, 0]	-17
[6, 6, 4, 4, 1, 0]	-16
[6, 6, 5, 2, 1, 1]	-19
[6, 6, 5, 2, 2, 0]	-16
[6, 6, 5, 3, 1, 0]	-16
[6, 6, 5, 4, 0, 0]	-12
[6, 6, 6, 1, 1, 1]	-18
[6, 6, 6, 2, 1, 0]	-15
[6, 6, 6, 3, 0, 0]	-12
[7, 3, 3, 3, 3, 2]	-23
[7, 4, 3, 3, 2, 2]	-22
[7, 4, 3, 3, 3, 1]	-22
[7, 4, 4, 2, 2, 2]	-21
[7, 4, 4, 3, 2, 1]	-21
[7, 4, 4, 3, 3, 0]	-18
[7, 4, 4, 4, 1, 1]	-20
[7, 4, 4, 4, 2, 0]	-17
[7, 5, 3, 2, 2, 2]	-21
[7, 5, 3, 3, 2, 1]	-21
