sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[4, 4, 4, 3, 3, 3]	233.0	47.0	37.0	73.501%	14.826%	11.671%	6318.0	1173.0	3921.0	55.362%	10.278%	34.358%	
[4, 4, 4, 4, 3, 2]	244.0	26.0	47.0	76.971%	8.2018%	14.826%	6267.0	1179.0	3966.0	54.915%	10.331%	34.752%	
[4, 4, 4, 4, 4, 1]	250.0	14.0	53.0	78.864%	4.4164%	16.719%	6157.0	1193.0	4062.0	53.951%	10.453%	35.594%	
[5, 4, 3, 3, 3, 3]	255.0	16.0	46.0	80.441%	5.0473%	14.511%	6273.0	1180.0	3959.0	54.968%	10.339%	34.691%	
[5, 4, 4, 3, 3, 2]	250.0	29.0	38.0	78.864%	9.1482%	11.987%	6222.0	1186.0	4004.0	54.521%	10.392%	35.085%	
[5, 4, 4, 4, 2, 2]	260.0	17.0	40.0	82.018%	5.3627%	12.618%	6171.0	1192.0	4049.0	54.074%	10.445%	35.480%	
[5, 4, 4, 4, 3, 1]	252.0	20.0	45.0	79.495%	6.3091%	14.195%	6112.0	1200.0	4100.0	53.557%	10.515%	35.927%	
[5, 4, 4, 4, 4, 0]	255.0	6.0	56.0	80.441%	1.8927%	17.665%	5983.0	1174.0	4255.0	52.427%	10.287%	37.285%	
[5, 5, 3, 3, 3, 2]	252.0	17.0	48.0	79.495%	5.3627%	15.141%	6177.0	1193.0	4042.0	54.127%	10.453%	35.418%	
[5, 5, 4, 3, 2, 2]	249.0	34.0	34.0	78.548%	10.725%	10.725%	6126.0	1199.0	4087.0	53.680%	10.506%	35.813%	
[5, 5, 4, 3, 3, 1]	259.0	20.0	38.0	81.703%	6.3091%	11.987%	6067.0	1207.0	4138.0	53.163%	10.576%	36.260%	
[5, 5, 4, 4, 2, 1]	260.0	20.0	37.0	82.018%	6.3091%	11.671%	6016.0	1213.0	4183.0	52.716%	10.629%	36.654%	
[5, 5, 4, 4, 3, 0]	255.0	12.0	50.0	80.441%	3.7854%	15.772%	5938.0	1181.0	4293.0	52.032%	10.348%	37.618%	
[5, 5, 5, 2, 2, 2]	232.0	61.0	24.0	73.186%	19.242%	7.5709%	6030.0	1212.0	4170.0	52.839%	10.620%	36.540%	
[5, 5, 5, 3, 2, 1]	261.0	24.0	32.0	82.334%	7.5709%	10.094%	5971.0	1220.0	4221.0	52.322%	10.690%	36.987%	
[5, 5, 5, 3, 3, 0]	259.0	20.0	38.0	81.703%	6.3091%	11.987%	5893.0	1188.0	4331.0	51.638%	10.410%	37.951%	
[5, 5, 5, 4, 1, 1]	252.0	22.0	43.0	79.495%	6.9400%	13.564%	5861.0	1234.0	4317.0	51.358%	10.813%	37.828%	
[5, 5, 5, 4, 2, 0]	258.0	19.0	40.0	81.388%	5.9936%	12.618%	5842.0	1194.0	4376.0	51.191%	10.462%	38.345%	
[5, 5, 5, 5, 1, 0]	235.0	23.0	59.0	74.132%	7.2555%	18.611%	5687.0	1215.0	4510.0	49.833%	10.646%	39.519%	
[6, 3, 3, 3, 3, 3]	252.0	8.0	57.0	79.495%	2.5236%	17.981%	6190.0	1194.0	4028.0	54.241%	10.462%	35.296%	
[6, 4, 3, 3, 3, 2]	252.0	18.0	47.0	79.495%	5.6782%	14.826%	6139.0	1200.0	4073.0	53.794%	10.515%	35.690%	
[6, 4, 4, 3, 2, 2]	255.0	17.0	45.0	80.441%	5.3627%	14.195%	6088.0	1206.0	4118.0	53.347%	10.567%	36.084%	
[6, 4, 4, 3, 3, 1]	252.0	30.0	35.0	79.495%	9.4637%	11.041%	6029.0	1214.0	4169.0	52.830%	10.637%	36.531%	
[6, 4, 4, 4, 2, 1]	258.0	23.0	36.0	81.388%	7.2555%	11.356%	5978.0	1220.0	4214.0	52.383%	10.690%	36.926%	
[6, 4, 4, 4, 3, 0]	245.0	17.0	55.0	77.287%	5.3627%	17.350%	5900.0	1188.0	4324.0	51.699%	10.410%	37.889%	
[6, 5, 3, 3, 2, 2]	248.0	22.0	47.0	78.233%	6.9400%	14.826%	6043.0	1213.0	4156.0	52.953%	10.629%	36.417%	
[6, 5, 3, 3, 3, 1]	255.0	21.0	41.0	80.441%	6.6246%	12.933%	5984.0	1221.0	4207.0	52.436%	10.699%	36.864%	
[6, 5, 4, 2, 2, 2]	246.0	28.0	43.0	77.602%	8.8328%	13.564%	5992.0	1219.0	4201.0	52.506%	10.681%	36.812%	
[6, 5, 4, 3, 2, 1]	246.0	48.0	23.0	77.602%	15.141%	7.2555%	5933.0	1227.0	4252.0	51.989%	10.751%	37.259%	
[6, 5, 4, 3, 3, 0]	251.0	23.0	43.0	79.179%	7.2555%	13.564%	5855.0	1195.0	4362.0	51.305%	10.471%	38.222%	
