size	Best of	[4, 4, 4, 3, 3, 3]	[4, 4, 4, 4, 3, 2]	[4, 4, 4, 4, 4, 1]	[5, 4, 3, 3, 3, 3]	[5, 4, 4, 3, 3, 2]	[5, 4, 4, 4, 2, 2]	[5, 4, 4, 4, 3, 1]	[5, 4, 4, 4, 4, 0]	[5, 5, 3, 3, 3, 2]	[5, 5, 4, 3, 2, 2]	[5, 5, 4, 3, 3, 1]	[5, 5, 4, 4, 2, 1]	[5, 5, 4, 4, 3, 0]	[5, 5, 5, 2, 2, 2]	[5, 5, 5, 3, 2, 1]	[5, 5, 5, 3, 3, 0]	[5, 5, 5, 4, 1, 1]	[5, 5, 5, 4, 2, 0]	[5, 5, 5, 5, 1, 0]	[6, 3, 3, 3, 3, 3]	[6, 4, 3, 3, 3, 2]	[6, 4, 4, 3, 2, 2]	[6, 4, 4, 3, 3, 1]	[6, 4, 4, 4, 2, 1]	[6, 4, 4, 4, 3, 0]	[6, 5, 3, 3, 2, 2]	[6, 5, 3, 3, 3, 1]	[6, 5, 4, 2, 2, 2]	[6, 5, 4, 3, 2, 1]	[6, 5, 4, 3, 3, 0]	[6, 5, 4, 4, 1, 1]	[6, 5, 4, 4, 2, 0]	[6, 5, 5, 2, 2, 1]	[6, 5, 5, 3, 1, 1]	[6, 5, 5, 3, 2, 0]	[6, 5, 5, 4, 1, 0]	[6, 5, 5, 5, 0, 0]	[6, 6, 3, 2, 2, 2]	[6, 6, 3, 3, 2, 1]	[6, 6, 3, 3, 3, 0]	[6, 6, 4, 2, 2, 1]	[6, 6, 4, 3, 1, 1]	[6, 6, 4, 3, 2, 0]	[6, 6, 4, 4, 1, 0]	[6, 6, 5, 2, 1, 1]	[6, 6, 5, 2, 2, 0]	[6, 6, 5, 3, 1, 0]	[6, 6, 5, 4, 0, 0]	[6, 6, 6, 1, 1, 1]	[6, 6, 6, 2, 1, 0]	[6, 6, 6, 3, 0, 0]	[7, 3, 3, 3, 3, 2]	[7, 4, 3, 3, 2, 2]	[7, 4, 3, 3, 3, 1]	[7, 4, 4, 2, 2, 2]	[7, 4, 4, 3, 2, 1]	[7, 4, 4, 3, 3, 0]	[7, 4, 4, 4, 1, 1]	[7, 4, 4, 4, 2, 0]	[7, 5, 3, 2, 2, 2]	[7, 5, 3, 3, 2, 1]	[7, 5, 3, 3, 3, 0]	[7, 5, 4, 2, 2, 1]	[7, 5, 4, 3, 1, 1]	[7, 5, 4, 3, 2, 0]	[7, 5, 4, 4, 1, 0]	[7, 5, 5, 2, 1, 1]	[7, 5, 5, 2, 2, 0]	[7, 5, 5, 3, 1, 0]	[7, 5, 5, 4, 0, 0]	[7, 6, 2, 2, 2, 2]	[7, 6, 3, 2, 2, 1]	[7, 6, 3, 3, 1, 1]	[7, 6, 3, 3, 2, 0]	[7, 6, 4, 2, 1, 1]	[7, 6, 4, 2, 2, 0]	[7, 6, 4, 3, 1, 0]	[7, 6, 4, 4, 0, 0]	[7, 6, 5, 1, 1, 1]	[7, 6, 5, 2, 1, 0]	[7, 6, 5, 3, 0, 0]	[7, 6, 6, 1, 1, 0]	[7, 6, 6, 2, 0, 0]	[7, 7, 2, 2, 2, 1]	[7, 7, 3, 2, 1, 1]	[7, 7, 3, 2, 2, 0]	[7, 7, 3, 3, 1, 0]	[7, 7, 4, 1, 1, 1]	[7, 7, 4, 2, 1, 0]	[7, 7, 4, 3, 0, 0]	[7, 7, 5, 1, 1, 0]	[7, 7, 5, 2, 0, 0]	[7, 7, 6, 1, 0, 0]	[7, 7, 7, 0, 0, 0]	[8, 3, 3, 3, 2, 2]	[8, 3, 3, 3, 3, 1]	[8, 4, 3, 2, 2, 2]	[8, 4, 3, 3, 2, 1]	[8, 4, 3, 3, 3, 0]	[8, 4, 4, 2, 2, 1]	[8, 4, 4, 3, 1, 1]	[8, 4, 4, 3, 2, 0]	[8, 4, 4, 4, 1, 0]	[8, 5, 2, 2, 2, 2]	[8, 5, 3, 2, 2, 1]	[8, 5, 3, 3, 1, 1]	[8, 5, 3, 3, 2, 0]	[8, 5, 4, 2, 1, 1]	[8, 5, 4, 2, 2, 0]	[8, 5, 4, 3, 1, 0]	[8, 5, 4, 4, 0, 0]	[8, 5, 5, 1, 1, 1]	[8, 5, 5, 2, 1, 0]	[8, 5, 5, 3, 0, 0]	[8, 6, 2, 2, 2, 1]	[8, 6, 3, 2, 1, 1]	[8, 6, 3, 2, 2, 0]	[8, 6, 3, 3, 1, 0]	[8, 6, 4, 1, 1, 1]	[8, 6, 4, 2, 1, 0]	[8, 6, 4, 3, 0, 0]	[8, 6, 5, 1, 1, 0]	[8, 6, 5, 2, 0, 0]	[8, 6, 6, 1, 0, 0]	[8, 7, 2, 2, 1, 1]	[8, 7, 2, 2, 2, 0]	[8, 7, 3, 1, 1, 1]	[8, 7, 3, 2, 1, 0]	[8, 7, 3, 3, 0, 0]	[8, 7, 4, 1, 1, 0]	[8, 7, 4, 2, 0, 0]	[8, 7, 5, 1, 0, 0]	[8, 7, 6, 0, 0, 0]	[8, 8, 2, 1, 1, 1]	[8, 8, 2, 2, 1, 0]	[8, 8, 3, 1, 1, 0]	[8, 8, 3, 2, 0, 0]	[8, 8, 4, 1, 0, 0]	[8, 8, 5, 0, 0, 0]	[9, 3, 3, 2, 2, 2]	[9, 3, 3, 3, 2, 1]	[9, 3, 3, 3, 3, 0]	[9, 4, 2, 2, 2, 2]	[9, 4, 3, 2, 2, 1]	[9, 4, 3, 3, 1, 1]	[9, 4, 3, 3, 2, 0]	[9, 4, 4, 2, 1, 1]	[9, 4, 4, 2, 2, 0]	[9, 4, 4, 3, 1, 0]	[9, 4, 4, 4, 0, 0]	[9, 5, 2, 2, 2, 1]	[9, 5, 3, 2, 1, 1]	[9, 5, 3, 2, 2, 0]	[9, 5, 3, 3, 1, 0]	[9, 5, 4, 1, 1, 1]	[9, 5, 4, 2, 1, 0]	[9, 5, 4, 3, 0, 0]	[9, 5, 5, 1, 1, 0]	[9, 5, 5, 2, 0, 0]	[9, 6, 2, 2, 1, 1]	[9, 6, 2, 2, 2, 0]	[9, 6, 3, 1, 1, 1]	[9, 6, 3, 2, 1, 0]	[9, 6, 3, 3, 0, 0]	[9, 6, 4, 1, 1, 0]	[9, 6, 4, 2, 0, 0]	[9, 6, 5, 1, 0, 0]	[9, 6, 6, 0, 0, 0]	[9, 7, 2, 1, 1, 1]	[9, 7, 2, 2, 1, 0]	[9, 7, 3, 1, 1, 0]	[9, 7, 3, 2, 0, 0]	[9, 7, 4, 1, 0, 0]	[9, 7, 5, 0, 0, 0]	[9, 8, 1, 1, 1, 1]	[9, 8, 2, 1, 1, 0]	[9, 8, 2, 2, 0, 0]	[9, 8, 3, 1, 0, 0]	[9, 8, 4, 0, 0, 0]	[9, 9, 1, 1, 1, 0]	[9, 9, 2, 1, 0, 0]	[9, 9, 3, 0, 0, 0]	[10, 3, 2, 2, 2, 2]	[10, 3, 3, 2, 2, 1]	[10, 3, 3, 3, 1, 1]	[10, 3, 3, 3, 2, 0]	[10, 4, 2, 2, 2, 1]	[10, 4, 3, 2, 1, 1]	[10, 4, 3, 2, 2, 0]	[10, 4, 3, 3, 1, 0]	[10, 4, 4, 1, 1, 1]	[10, 4, 4, 2, 1, 0]	[10, 4, 4, 3, 0, 0]	[10, 5, 2, 2, 1, 1]	[10, 5, 2, 2, 2, 0]	[10, 5, 3, 1, 1, 1]	[10, 5, 3, 2, 1, 0]	[10, 5, 3, 3, 0, 0]	[10, 5, 4, 1, 1, 0]	[10, 5, 4, 2, 0, 0]	[10, 5, 5, 1, 0, 0]	[10, 6, 2, 1, 1, 1]	[10, 6, 2, 2, 1, 0]	[10, 6, 3, 1, 1, 0]	[10, 6, 3, 2, 0, 0]	[10, 6, 4, 1, 0, 0]	[10, 6, 5, 0, 0, 0]	[10, 7, 1, 1, 1, 1]	[10, 7, 2, 1, 1, 0]	[10, 7, 2, 2, 0, 0]	[10, 7, 3, 1, 0, 0]	[10, 7, 4, 0, 0, 0]	[10, 8, 1, 1, 1, 0]	[10, 8, 2, 1, 0, 0]	[10, 8, 3, 0, 0, 0]	[10, 9, 1, 1, 0, 0]	[10, 9, 2, 0, 0, 0]	[10, 10, 1, 0, 0, 0]	[11, 2, 2, 2, 2, 2]	[11, 3, 2, 2, 2, 1]	[11, 3, 3, 2, 1, 1]	[11, 3, 3, 2, 2, 0]	[11, 3, 3, 3, 1, 0]	[11, 4, 2, 2, 1, 1]	[11, 4, 2, 2, 2, 0]	[11, 4, 3, 1, 1, 1]	[11, 4, 3, 2, 1, 0]	[11, 4, 3, 3, 0, 0]	[11, 4, 4, 1, 1, 0]	[11, 4, 4, 2, 0, 0]	[11, 5, 2, 1, 1, 1]	[11, 5, 2, 2, 1, 0]	[11, 5, 3, 1, 1, 0]	[11, 5, 3, 2, 0, 0]	[11, 5, 4, 1, 0, 0]	[11, 5, 5, 0, 0, 0]	[11, 6, 1, 1, 1, 1]	[11, 6, 2, 1, 1, 0]	[11, 6, 2, 2, 0, 0]	[11, 6, 3, 1, 0, 0]	[11, 6, 4, 0, 0, 0]	[11, 7, 1, 1, 1, 0]	[11, 7, 2, 1, 0, 0]	[11, 7, 3, 0, 0, 0]	[11, 8, 1, 1, 0, 0]	[11, 8, 2, 0, 0, 0]	[11, 9, 1, 0, 0, 0]	[11, 10, 0, 0, 0, 0]	[12, 2, 2, 2, 2, 1]	[12, 3, 2, 2, 1, 1]	[12, 3, 2, 2, 2, 0]	[12, 3, 3, 1, 1, 1]	[12, 3, 3, 2, 1, 0]	[12, 3, 3, 3, 0, 0]	[12, 4, 2, 1, 1, 1]	[12, 4, 2, 2, 1, 0]	[12, 4, 3, 1, 1, 0]	[12, 4, 3, 2, 0, 0]	[12, 4, 4, 1, 0, 0]	[12, 5, 1, 1, 1, 1]	[12, 5, 2, 1, 1, 0]	[12, 5, 2, 2, 0, 0]	[12, 5, 3, 1, 0, 0]	[12, 5, 4, 0, 0, 0]	[12, 6, 1, 1, 1, 0]	[12, 6, 2, 1, 0, 0]	[12, 6, 3, 0, 0, 0]	[12, 7, 1, 1, 0, 0]	[12, 7, 2, 0, 0, 0]	[12, 8, 1, 0, 0, 0]	[12, 9, 0, 0, 0, 0]	[13, 2, 2, 2, 1, 1]	[13, 2, 2, 2, 2, 0]	[13, 3, 2, 1, 1, 1]	[13, 3, 2, 2, 1, 0]	[13, 3, 3, 1, 1, 0]	[13, 3, 3, 2, 0, 0]	[13, 4, 1, 1, 1, 1]	[13, 4, 2, 1, 1, 0]	[13, 4, 2, 2, 0, 0]	[13, 4, 3, 1, 0, 0]	[13, 4, 4, 0, 0, 0]	[13, 5, 1, 1, 1, 0]	[13, 5, 2, 1, 0, 0]	[13, 5, 3, 0, 0, 0]	[13, 6, 1, 1, 0, 0]	[13, 6, 2, 0, 0, 0]	[13, 7, 1, 0, 0, 0]	[13, 8, 0, 0, 0, 0]	[14, 2, 2, 1, 1, 1]	[14, 2, 2, 2, 1, 0]	[14, 3, 1, 1, 1, 1]	[14, 3, 2, 1, 1, 0]	[14, 3, 2, 2, 0, 0]	[14, 3, 3, 1, 0, 0]	[14, 4, 1, 1, 1, 0]	[14, 4, 2, 1, 0, 0]	[14, 4, 3, 0, 0, 0]	[14, 5, 1, 1, 0, 0]	[14, 5, 2, 0, 0, 0]	[14, 6, 1, 0, 0, 0]	[14, 7, 0, 0, 0, 0]	[15, 2, 1, 1, 1, 1]	[15, 2, 2, 1, 1, 0]	[15, 2, 2, 2, 0, 0]	[15, 3, 1, 1, 1, 0]	[15, 3, 2, 1, 0, 0]	[15, 3, 3, 0, 0, 0]	[15, 4, 1, 1, 0, 0]	[15, 4, 2, 0, 0, 0]	[15, 5, 1, 0, 0, 0]	[15, 6, 0, 0, 0, 0]	[16, 1, 1, 1, 1, 1]	[16, 2, 1, 1, 1, 0]	[16, 2, 2, 1, 0, 0]	[16, 3, 1, 1, 0, 0]	[16, 3, 2, 0, 0, 0]	[16, 4, 1, 0, 0, 0]	[16, 5, 0, 0, 0, 0]	[17, 1, 1, 1, 1, 0]	[17, 2, 1, 1, 0, 0]	[17, 2, 2, 0, 0, 0]	[17, 3, 1, 0, 0, 0]	[17, 4, 0, 0, 0, 0]	[18, 1, 1, 1, 0, 0]	[18, 2, 1, 0, 0, 0]	[18, 3, 0, 0, 0, 0]	[19, 1, 1, 0, 0, 0]	[19, 2, 0, 0, 0, 0]	[20, 1, 0, 0, 0, 0]	[21, 0, 0, 0, 0, 0]
512	1	112	198	89	79	0	318	77	63	78	0	72	194	0	300	124	252	51	65	0	173	0	0	67	0	0	198	0	0	0	0	0	65	115	49	49	0	64	93	0	40	55	303	0	43	37	41	143	72	117	0	30	182	54	0	54	0	94	0	0	43	87	49	112	99	85	66	40	19	80	0	45	83	29	67	94	69	33	24	54	24	57	0	0	54	19	26	0	64	31	0	21	67	11	0	91	210	0	40	0	56	83	62	103	0	34	31	72	57	51	48	139	45	0	47	57	52	55	55	58	40	66	20	23	48	17	20	0	17	27	34	0	0	37	14	23	0	7	37	19	73	0	60	0	18	28	51	63	77	104	23	12	20	24	70	48	26	39	20	23	32	20	0	14	37	19	15	48	23	0	16	22	0	8	13	19	19	12	14	0	2	2	21	65	16	0	34	33	56	46	60	15	0	30	19	12	17	74	0	16	14	9	26	10	0	21	27	4	12	0	25	17	15	0	9	11	2	0	5	10	15	6	0	4	0	0	0	10	39	8	29	14	15	15	26	0	23	4	9	0	0	6	0	11	0	1	6	1	0	7	21	8	3	3	1	8	14	0	6	7	0	8	9	4	7	8	6	5	5	0	0	2	0	8	6	5	16	8	1	15	1	1	5	0	6	0	0	2	1	0	1	1	8	2	6	1	3	2	5	1	4	0	5	0	1	0	5	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
512	3	206	291	267	243	83	403	255	317	238	254	72	339	0	379	203	329	179	193	171	262	79	133	341	0	0	267	122	0	0	129	73	65	238	227	164	179	213	93	152	40	217	353	0	134	122	216	228	241	220	123	108	289	177	61	113	167	94	178	0	43	196	49	162	187	184	147	113	19	199	43	83	83	29	135	94	69	148	63	83	83	180	66	77	54	44	71	90	90	31	104	69	98	44	0	179	274	26	40	0	56	132	62	164	19	34	31	72	57	141	117	164	109	0	70	94	88	72	106	109	40	90	48	23	87	53	42	0	17	39	69	15	0	75	22	23	41	28	37	19	92	0	124	13	57	80	51	102	104	140	41	26	35	36	70	74	26	90	52	23	63	55	22	53	56	41	30	59	35	7	16	30	13	10	20	25	19	21	15	7	2	2	27	73	39	6	55	53	72	56	66	38	9	33	49	21	27	83	22	31	14	9	46	17	3	21	27	6	15	3	37	19	18	7	9	12	2	0	5	19	21	8	9	28	1	0	2	10	44	13	34	21	17	24	27	6	28	5	11	7	3	16	0	11	0	2	6	1	0	11	24	9	5	8	1	12	15	0	7	10	5	10	9	5	9	8	6	6	6	0	0	2	2	8	7	5	16	8	1	15	1	1	9	0	6	0	0	2	2	0	1	1	8	3	6	1	3	2	5	1	5	0	6	0	1	0	5	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
512	5	461	590	490	243	269	488	481	460	558	516	275	339	232	642	203	523	373	307	171	361	128	194	401	218	90	322	296	111	54	129	73	142	302	355	363	179	288	133	265	194	256	452	57	319	148	216	294	360	293	152	168	289	296	124	113	167	94	331	140	43	196	176	470	387	217	221	225	99	199	162	149	83	126	157	146	69	222	106	139	165	270	92	97	110	56	107	158	118	31	126	99	115	44	11	215	274	26	76	0	75	154	287	282	32	44	105	109	77	162	161	257	109	0	94	128	113	85	106	166	51	106	48	37	99	53	53	10	17	63	91	47	15	92	26	42	48	34	37	32	99	0	171	31	72	86	51	107	151	170	52	35	47	57	70	96	42	90	57	60	73	55	29	61	72	63	72	65	35	19	22	33	23	22	24	26	24	21	19	7	2	2	29	73	43	10	55	55	82	56	66	38	17	47	53	21	31	89	22	47	23	13	48	19	3	23	27	6	16	4	37	21	18	8	10	15	2	0	5	19	25	9	11	29	6	1	2	12	45	15	35	23	20	24	29	8	29	7	12	9	5	18	1	12	0	2	7	1	0	11	25	10	5	8	2	12	18	2	8	10	5	15	9	5	9	9	6	7	7	0	0	2	2	8	7	5	16	8	1	15	1	1	9	0	6	0	0	2	2	0	1	1	8	3	6	1	3	2	5	1	5	0	6	0	1	0	5	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1024	1	635	731	780	483	476	600	629	601	630	550	375	429	300	701	263	575	478	421	225	396	184	308	460	333	126	387	430	137	198	278	156	387	377	437	467	293	324	325	347	232	314	477	130	394	180	268	353	445	322	202	226	333	323	188	193	229	163	374	215	77	306	251	470	461	250	350	250	185	289	221	220	132	126	157	196	168	297	138	241	196	298	120	145	172	85	132	172	147	40	183	107	153	44	39	273	326	73	104	60	122	154	365	311	86	84	141	162	108	174	253	344	172	39	154	160	172	127	132	214	92	125	56	74	123	69	74	34	44	106	100	52	42	117	33	60	59	51	57	32	112	50	182	59	72	114	93	153	156	189	52	55	59	64	79	119	63	117	85	83	93	66	47	84	82	109	108	90	50	45	27	59	36	32	33	39	34	24	19	18	7	5	31	81	53	22	69	82	98	66	77	52	22	54	77	33	51	102	30	47	41	25	67	32	14	29	27	27	37	4	51	24	31	11	15	19	7	4	9	19	36	24	19	45	18	10	6	35	48	22	50	31	24	33	37	22	35	16	21	10	7	29	4	16	7	2	7	1	4	21	28	13	7	8	8	20	20	12	11	10	5	22	10	11	9	13	6	10	15	2	2	2	8	8	9	11	16	9	1	17	1	4	9	2	10	3	1	5	3	3	5	1	8	4	7	2	3	2	5	3	7	0	6	0	2	1	7	1	2	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
1024	3	855	875	893	524	612	719	830	846	677	603	661	605	442	860	263	788	602	635	464	459	347	396	606	563	279	478	535	137	353	395	189	494	441	563	625	326	359	325	444	327	357	590	207	525	304	306	401	507	337	223	294	449	416	214	217	305	193	423	235	112	386	411	599	590	329	418	326	185	304	302	237	200	141	266	247	241	348	153	282	206	362	174	174	237	85	164	189	179	95	224	146	179	44	59	304	337	73	177	92	145	163	402	341	113	103	167	221	150	210	281	360	223	56	218	220	196	156	175	242	119	199	119	82	152	103	91	44	80	131	100	67	44	125	35	60	76	70	66	33	125	56	189	68	86	137	101	175	182	204	76	71	67	78	111	126	88	120	111	94	117	88	52	123	93	120	127	105	58	47	27	59	36	48	41	41	38	29	21	23	10	6	37	90	57	24	93	86	101	78	94	59	34	71	93	40	56	117	37	66	48	45	74	40	19	38	34	31	38	10	60	25	31	13	15	20	7	4	12	21	42	34	23	49	18	10	13	39	53	29	52	40	25	37	38	22	37	17	23	11	9	29	7	20	9	2	7	1	4	23	30	13	7	11	10	26	20	14	13	11	6	22	10	11	12	13	6	10	16	2	3	2	10	9	9	12	16	9	2	18	3	5	9	2	10	3	1	5	3	3	5	1	8	4	7	3	3	3	5	3	7	0	6	0	2	1	7	1	2	0	2	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
1024	5	1020	1053	1011	710	762	906	1076	1191	833	647	748	776	728	983	351	980	875	840	526	515	379	470	606	641	577	654	684	243	452	437	231	716	583	616	850	455	403	385	471	415	426	727	316	654	394	306	493	589	479	338	368	480	466	290	281	353	299	522	330	194	405	521	676	646	387	450	353	204	392	483	284	211	193	280	270	300	416	205	282	233	377	221	256	259	104	169	232	210	106	261	177	207	87	70	323	357	80	213	103	169	189	431	374	140	127	208	252	168	244	303	385	253	70	263	230	222	189	193	255	132	233	166	118	168	106	100	60	95	156	118	84	48	152	38	60	78	70	86	39	138	63	191	68	95	163	114	204	183	228	80	76	76	99	134	138	91	153	125	125	129	99	60	124	97	137	133	108	64	53	31	60	45	56	44	41	40	30	22	23	12	6	40	93	59	30	99	89	106	87	103	69	36	77	93	42	62	117	45	69	49	52	76	43	20	39	41	31	39	12	60	26	32	15	16	21	8	4	12	22	42	35	24	50	18	13	13	39	54	34	54	40	26	37	38	24	37	18	24	11	9	30	8	20	10	2	7	1	4	23	31	13	7	13	11	26	20	14	14	11	6	23	10	11	12	13	8	11	16	2	3	2	10	9	9	12	16	9	3	18	4	5	9	2	10	4	1	5	3	3	5	1	8	4	7	3	3	3	5	3	7	0	6	0	2	1	7	1	2	0	2	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
2048	1	1226	1161	1144	849	967	1084	1218	1300	923	720	829	907	846	1071	516	1046	978	897	719	575	443	577	668	712	651	704	849	340	500	533	355	838	692	699	984	493	470	466	585	467	454	812	363	726	450	396	588	708	489	373	480	523	491	395	342	395	349	581	405	268	471	581	737	689	433	529	429	262	435	532	322	245	248	312	334	344	447	294	339	295	438	234	312	292	154	214	266	244	144	294	196	240	110	84	380	437	160	257	173	255	210	491	429	187	166	246	313	213	280	327	409	259	101	301	271	271	207	225	266	159	252	188	145	193	138	125	87	119	213	147	106	56	164	62	71	99	79	99	52	156	82	221	108	131	180	132	231	218	252	80	111	104	123	158	144	121	168	147	132	148	107	85	128	108	172	144	118	77	72	38	81	51	63	63	50	47	35	33	31	16	7	40	104	70	40	115	104	141	104	118	88	54	85	106	55	85	124	62	85	59	63	80	51	36	53	50	42	47	14	68	34	37	18	17	26	10	5	13	27	45	47	36	67	23	17	19	49	60	39	63	42	39	41	43	31	43	19	28	15	9	39	9	23	16	6	10	2	6	27	36	22	9	13	11	29	29	20	17	19	11	27	14	12	20	14	10	12	17	4	3	2	12	11	9	18	16	12	5	19	4	6	14	2	14	9	3	6	4	4	6	2	9	4	9	4	4	3	5	4	7	0	6	0	2	2	7	2	2	0	3	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
2048	3	1397	1491	1246	1030	1138	1166	1302	1459	1049	850	971	968	949	1071	705	1145	1046	1083	892	686	532	683	746	834	856	866	970	517	521	608	503	1024	739	774	1011	590	588	551	669	555	485	907	492	797	518	472	707	791	563	396	506	583	590	470	431	464	410	682	485	306	530	687	792	757	507	634	489	325	483	587	338	265	274	385	401	389	487	370	371	310	488	262	331	323	184	232	285	273	201	319	215	296	147	95	440	499	189	307	215	287	238	537	477	217	179	280	357	264	315	380	502	300	146	356	298	296	247	247	276	215	289	197	175	220	162	143	93	131	224	166	118	75	181	66	78	108	81	115	56	173	100	245	119	166	205	164	235	241	288	114	125	119	150	188	149	129	188	169	143	170	136	92	140	125	186	146	132	86	85	39	88	59	73	66	54	50	37	34	32	17	10	43	113	79	43	118	111	153	108	129	92	61	99	108	59	93	130	69	90	71	70	86	53	42	58	51	53	50	16	70	38	44	20	18	27	10	5	13	29	46	48	42	71	34	18	19	51	62	42	69	44	41	44	44	34	45	20	31	19	10	40	9	23	16	6	12	2	6	28	37	22	11	13	12	29	31	20	17	19	11	29	15	13	21	15	12	13	17	4	3	2	12	11	9	18	16	13	5	20	4	6	15	2	14	9	3	6	4	4	6	2	9	4	9	4	4	3	5	4	7	0	6	0	2	2	7	2	2	0	4	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
2048	5	1504	1622	1579	1192	1278	1419	1377	1810	1114	1001	1120	1161	1144	1274	835	1257	1299	1149	1037	760	612	783	829	991	957	900	1045	651	655	814	657	1100	847	981	1159	716	681	654	768	661	554	969	574	1021	577	548	819	933	598	446	540	614	601	523	464	519	484	731	582	356	555	748	941	818	542	697	517	386	537	634	389	314	306	432	412	478	544	439	415	370	531	319	359	357	192	254	315	297	228	357	254	339	167	114	463	526	221	333	238	297	261	572	506	233	217	291	391	314	331	428	578	330	198	360	312	327	266	266	285	235	312	213	214	230	176	157	102	139	246	190	131	86	194	71	85	109	86	120	67	185	117	257	121	176	213	173	249	261	302	137	134	137	158	190	157	146	201	177	166	174	139	97	149	133	198	154	142	95	92	43	91	71	82	79	55	52	40	35	33	19	11	43	118	82	43	120	115	158	112	134	95	66	101	110	60	97	132	76	96	75	72	91	57	45	66	51	59	50	16	70	39	45	20	18	28	10	5	13	29	48	48	42	72	36	18	19	53	63	42	70	46	42	45	44	34	46	20	33	20	10	43	9	24	16	6	12	2	6	29	38	23	11	13	12	29	31	20	19	19	11	30	15	15	22	15	12	14	17	4	3	2	12	11	9	18	16	13	5	20	4	6	15	2	14	9	3	6	4	4	6	2	9	4	9	4	4	3	5	4	7	0	6	0	2	2	7	2	2	0	4	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
4096	1	1701	1794	1714	1366	1442	1536	1508	1974	1197	1120	1258	1305	1321	1381	917	1378	1385	1270	1166	844	749	884	920	1165	1057	957	1190	769	775	880	784	1210	947	1038	1226	807	771	677	816	723	598	1014	664	1104	644	627	866	983	647	472	579	699	697	615	539	608	540	815	647	399	606	833	1041	880	645	764	560	425	560	701	433	363	347	467	463	513	596	483	454	419	593	368	404	404	219	283	360	330	265	394	305	365	188	137	513	602	243	390	270	332	286	599	529	260	243	322	425	343	362	461	637	359	244	381	346	391	297	289	320	259	333	240	229	250	191	179	117	153	269	210	161	115	203	83	99	127	99	134	80	200	147	276	153	201	237	208	275	284	324	169	140	160	180	226	177	177	222	188	183	188	157	110	162	150	213	177	153	118	94	58	102	88	97	81	66	57	50	42	38	23	12	48	128	103	54	138	125	171	123	147	104	82	116	116	71	109	153	80	107	87	84	98	59	53	78	60	63	55	21	75	44	46	21	27	36	14	8	14	36	59	50	51	75	44	24	24	58	68	49	76	49	47	51	53	45	49	22	38	24	12	46	11	26	19	9	13	2	7	31	39	29	20	17	13	31	38	25	19	25	13	30	18	19	28	17	16	18	19	6	3	3	12	13	9	19	17	14	5	23	7	6	16	5	14	10	3	8	4	4	7	2	9	5	9	5	4	3	5	4	8	0	6	0	2	2	7	3	2	0	4	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
