"[6, 6, 6, 1, 1, 1]",105,,,,,196,,,,"[6, 6, 6, 1, 1, 1]",0.535714286
"[6, 5, 5, 5, 0, 0]",47,,,,,,,,,"[6, 5, 5, 5, 0, 0]",0.239795918
"[5, 5, 5, 5, 1, 0]",8,,,,,,,,,"[5, 5, 5, 5, 1, 0]",0.040816327
"[7, 6, 2, 2, 2, 2]",8,,,,,,,,,"[7, 6, 2, 2, 2, 2]",0.040816327
"[7, 7, 2, 2, 2, 1]",6,,,,,,,,,"[7, 7, 2, 2, 2, 1]",0.030612245
"[5, 4, 4, 4, 4, 0]",6,,,,,,,,,"[5, 4, 4, 4, 4, 0]",0.030612245
"[7, 7, 4, 1, 1, 1]",5,,,,,,,,,"[7, 7, 4, 1, 1, 1]",0.025510204
"[4, 4, 4, 3, 3, 3]",3,,,,,,,,,"[4, 4, 4, 3, 3, 3]",0.015306122
"[7, 7, 7, 0, 0, 0]",2,,,,,,,,,"[7, 7, 7, 0, 0, 0]",0.010204082
"[6, 6, 6, 3, 0, 0]",2,,,,,,,,,"[6, 6, 6, 3, 0, 0]",0.010204082
"[5, 5, 5, 2, 2, 2]",2,,,,,,,,,"[5, 5, 5, 2, 2, 2]",0.010204082
"[4, 4, 4, 4, 4, 1]",1,,,,,,,,,"[4, 4, 4, 4, 4, 1]",0.005102041
"[6, 3, 3, 3, 3, 3]",1,,,,,,,,,"[6, 3, 3, 3, 3, 3]",0.005102041
